"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,5.63643345260441,0.487,0.026,0,199,"Lhx9"
0,5.63603997633559,0.252,0.006,0,57,"Samd3"
8.49685066496023e-89,5.62739900130916,0.928,0.206,3.45091092906695e-84,270,"Arpp21"
0,5.62547332215909,0.335,0.006,0,207,"Samd3"
0,5.62527763249714,0.62,0.017,0,120,"Sim2"
9.11856045692447e-297,5.62362867946799,0.372,0.025,3.7034121439753e-292,88,"Myo5b"
0,5.61965613339572,0.591,0.025,0,53,"Fndc3c1"
2.77279482012794e-204,5.61203187329754,0.3,0.017,1.12614288824676e-199,187,"Nts"
3.63890843343621e-283,5.59799737181195,0.398,0.01,1.47790627115578e-278,267,"Msx1"
0,5.57203632272869,0.419,0.017,0,153,"Ptx3"
0,5.55399603755276,0.338,0.015,0,20,"Bmpr1b"
0,5.55059125972608,0.437,0.014,0,57,"Tbr1"
0,5.54322159099176,0.541,0.019,0,163,"Crybg3"
2.6917412340391e-40,5.54214636189589,0.241,0.023,1.09322378479264e-35,270,"Tanc1"
1.37167960380746e-188,5.54149432627574,0.298,0.019,5.57093954290362e-184,182,"Penk"
0,5.54123170988651,0.654,0.025,0,207,"Lhx9"
0,5.53501939587757,0.686,0.024,0,77,"Myo5b"
1.56087125411315e-120,5.51335524707502,0.254,0.019,6.33932251145514e-116,207,"Robo3"
0,5.51200898659476,0.524,0.017,0,8,"Tbx19"
0,5.50317520400272,0.634,0.026,0,153,"Pdlim4"
0,5.50180574052813,0.704,0.024,0,18,"Syt10"
5.91258499866932e-292,5.49699541590104,0.298,0.014,2.40133727135956e-287,137,"Tafa4"
3.50948242054322e-161,5.48705659479383,0.233,0.01,1.42534119027942e-156,242,"Iqschfp"
1.21778916707027e-220,5.47361540053404,0.205,0.007,4.94592892313917e-216,207,"Hpse"
0,5.46903035958721,0.395,0.019,0,120,"Sncg"
0,5.45870241410822,0.337,0.012,0,86,"Htr3a"
0,5.4241068070359,0.841,0.109,0,154,"Pomc"
0,5.41380531419588,0.492,0.012,0,194,"Neurog3"
0,5.41003338056076,0.484,0.016,0,18,"Nr1d1"
0,5.40169008486413,0.669,0.035,0,82,"Ccbe1"
0,5.38851382502872,0.353,0.011,0,71,"Scgn"
0,5.38819115691395,0.748,0.072,0,120,"Gpc5"
0,5.37664065380267,0.693,0.024,0,128,"Myo5b"
1.16768733613174e-259,5.36294574575046,0.412,0.023,4.74244534696544e-255,216,"Slc9a3r1"
0,5.35989646180909,0.379,0.018,0,153,"Id1"
0,5.35886937375458,0.467,0.019,0,194,"Crybg3"
0,5.34780944904179,0.363,0.023,0,53,"Tcim"
1.31433361323818e-192,5.34723513014047,0.285,0.023,5.33803453680556e-188,88,"Tanc1"
0,5.33503305395382,0.428,0.014,0,100,"Olig2"
0,5.33494854381778,0.502,0.018,0,131,"Sim2"
0,5.33088123193915,0.356,0.011,0,45,"Ermn"
0,5.32755592500177,0.331,0.009,0,32,"Msx1"
0,5.32130844670519,0.23,0.008,0,132,"Ntrk1"
0,5.32096328606482,0.496,0.017,0,100,"Otx2"
0,5.32080624334954,0.251,0.012,0,18,"Creb3l1"
0,5.31735162079365,0.235,0.007,0,125,"Lrp4"
0,5.30822737440722,0.578,0.024,0,66,"Barhl2"
1.89461235992576e-271,5.3054166431922,0.396,0.022,7.69477863860248e-267,199,"C1ql3"
0,5.30249227975281,0.283,0.01,0,62,"Adamtsl3"
2.47141191572589e-306,5.29747693134471,0.477,0.034,1.00373923545291e-301,146,"Npy"
3.72958183183774e-122,5.29045499268681,0.23,0.012,1.51473236518258e-117,249,"Gbx1"
4.94332677200197e-233,5.28790514886423,0.796,0.109,2.00768273518088e-228,205,"Pomc"
0,5.28553463016202,0.244,0.011,0,53,"Frzb"
0,5.2605726985751,0.338,0.011,0,112,"Prr5l"
5.68074088063674e-63,5.2570688111007,0.711,0.146,2.30717610126181e-58,270,"Dgkb"
3.49286365433855e-152,5.23173774589684,0.275,0.005,1.41859164457306e-147,272,"Mab21l1"
1.35180190442854e-118,5.22610188544885,0.471,0.02,5.49020825464607e-114,272,"Sncg"
0,5.20813090081175,0.366,0.018,0,84,"Robo3"
0,5.201320073202,0.314,0.015,0,125,"Hopx"
1.55627442773525e-118,5.19256348088463,0.253,0.015,6.32065296080393e-114,242,"C1ql1"
0,5.18489954619381,0.69,0.017,0,198,"Neurod6"
0,5.18093730424557,0.27,0.009,0,24,"Skor2"
1.07745225939963e-295,5.17232674366873,0.201,0.007,4.37596460632564e-291,77,"Enpp1"
0,5.16851062922773,0.381,0.01,0,18,"Tmem51"
0,5.16577535117925,0.699,0.064,0,116,"Sst"
0,5.16377375304342,0.863,0.06,0,100,"Fezf2"
0,5.15954998590015,0.417,0.017,0,84,"Grem2"
3.22971230361878e-277,5.15660842840402,0.423,0.021,1.31171535499173e-272,226,"Eya4"
0,5.14253603938461,0.439,0.025,0,21,"Mrap2"
0,5.13584056700833,0.224,0.008,0,109,"Kirrel2"
1.92554226580892e-128,5.12746062442911,0.201,0.01,7.82039735835635e-124,224,"Slc30a3"
0,5.12503330910124,0.392,0.014,0,148,"Lhx8"
0,5.12498274950041,0.353,0.01,0,120,"Mir217hg"
2.45561277551873e-88,5.11258212345877,0.51,0.084,9.97322572649178e-84,243,"Ghr"
0,5.11183880625715,0.474,0.039,0,89,"Cck"
0,5.10967326121042,0.233,0.006,0,18,"Map3k19"
0,5.10688217920447,0.776,0.037,0,71,"Mbnl3"
0,5.10557971714123,0.704,0.038,0,18,"Ndrg1"
5.40840205089407e-295,5.10088672552624,0.341,0.017,2.19656840895012e-290,158,"Cryba1"
0,5.09375088295424,0.391,0.016,0,120,"Elfn1"
3.44022617261969e-298,5.09334142133266,0.345,0.02,1.39721345774776e-293,120,"Crabp1"
1.56037860536009e-229,5.09122579723186,0.241,0.009,6.33732166780946e-225,202,"Skor2"
0,5.09066203823137,0.773,0.037,0,100,"Emx2"
0,5.08071943968788,0.339,0.008,0,18,"Grpr"
1.70063092193856e-92,5.07251598739327,0.463,0.066,6.90694242636128e-88,237,"Sst"
0,5.06565659154097,0.354,0.012,0,112,"Vipr2"
1.51030168986258e-82,5.05668507670325,0.361,0.026,6.1339392832079e-78,270,"Myo5b"
0,5.05461682398431,0.772,0.043,0,18,"Chodl"
0,5.05291427451574,0.544,0.038,0,21,"Ar"
6.43913859288336e-171,5.04271562219926,0.301,0.015,2.61519174811365e-166,242,"Cdh23"
0,5.031361526351,0.278,0.011,0,28,"Frzb"
0,5.03036323541485,0.695,0.036,0,16,"Emx2"
8.5878078184581e-63,5.02467646421887,0.916,0.296,3.48785226738857e-58,270,"Cntn5"
3.28736407707819e-158,5.01792012694845,0.203,0.012,1.33513004626454e-153,148,"Gbx1"
0,5.0177829848091,0.327,0.015,0,66,"Wif1"
0,5.01628913399413,0.264,0.012,0,35,"Vipr2"
0,4.9925911013008,0.479,0.022,0,226,"Ifit2"
0,4.99233234259081,0.524,0.032,0,20,"Prdm8"
0,4.99069346256457,0.731,0.032,0,91,"Lhx6"
0,4.98843321618673,0.646,0.03,0,18,"Fam122b"
0,4.98806198565889,0.26,0.01,0,60,"Msx1"
0,4.98370564012195,0.932,0.091,0,185,"Cartpt"
0,4.98071697652864,0.34,0.011,0,185,"Mir217hg"
0,4.97967299853417,0.331,0.014,0,16,"Emx2os"
0,4.97917367323165,0.483,0.018,0,179,"Tbx19"
0,4.97716664827576,0.402,0.017,0,141,"Grem2"
1.11526408970979e-185,4.97322902068591,0.306,0.02,4.52953357394734e-181,185,"Trh"
0,4.97134441097889,0.891,0.038,0,15,"Foxb1"
8.92171898471213e-304,4.9680184329569,0.205,0.007,3.62346694845098e-299,82,"Ptf1a"
0,4.96144857987376,0.883,0.039,0,77,"Foxb1"
4.41983647886177e-50,4.96088441019992,0.235,0.012,1.79507238752492e-45,272,"Mir217hg"
8.50091191728991e-177,4.95871602262476,0.246,0.011,3.45256036608812e-172,220,"Frzb"
0,4.94865474082716,0.701,0.038,0,106,"Cck"
7.87236878194074e-227,4.94374312266421,0.297,0.012,3.19728385709741e-222,234,"Otx1"
0,4.94161006507069,0.437,0.016,0,18,"Cacng5"
0,4.94007571628314,0.388,0.019,0,185,"Gng8"
0,4.93948212491604,0.963,0.041,0,226,"Foxb1"
7.33445309765113e-277,4.93530520754771,0.216,0.01,2.97881478108003e-272,40,"Skor1"
8.12845073534781e-184,4.92905394877761,0.241,0.012,3.30128898165416e-179,202,"Tac2"
0,4.92663571029178,0.461,0.025,0,82,"Col5a2"
8.61158480003258e-213,4.9230969757595,0.21,0.014,3.49750905068523e-208,20,"Eomes"
0,4.91339378609764,0.367,0.016,0,16,"Otx2"
0,4.91253961950646,0.578,0.031,0,120,"Mab21l2"
1.34659564468761e-148,4.90514403577646,0.346,0.036,5.46906355133426e-144,142,"Ghrh"
0,4.90116485891322,0.712,0.032,0,69,"Lhx6"
1.67447168651831e-253,4.90077198099846,0.427,0.032,6.80069930762545e-249,153,"Grasp"
2.55766156556615e-271,4.89966649183545,0.319,0.018,1.03876866823903e-266,121,"Sim2"
2.5836699853087e-125,4.89739138355886,0.226,0.021,1.04933172783327e-120,86,"Csgalnact1"
1.95233006486372e-236,4.89153269885602,0.588,0.015,7.92919332543751e-232,272,"Tbr1"
0,4.88854781954069,0.728,0.031,0,18,"Arhgap6"
2.34467575663983e-44,4.88413676469193,0.482,0.084,9.52266611801699e-40,270,"Chrm3"
3.58949590196725e-139,4.87667911206773,0.222,0.01,1.45783786562498e-134,244,"Pmaip1"
0,4.87068184278133,0.353,0.017,0,132,"Cryba1"
0,4.85258951612589,0.997,0.146,0,56,"Meis2"
0,4.84895548808694,0.597,0.032,0,131,"Asic4"
1.08349442581441e-187,4.84749470587079,0.261,0.018,4.40050426100264e-183,109,"Id1"
2.19473139920944e-229,4.84631754684269,0.28,0.017,8.9136821047492e-225,109,"Ptx3"
0,4.84502311695941,0.651,0.061,0,125,"Sema3c"
5.96204370892685e-274,4.84325650861789,1,0.148,2.42142443194355e-269,224,"Meis2"
3.33986400055309e-197,4.84230634400022,0.221,0.008,1.35645236518463e-192,226,"Enpp1"
0,4.84125681212491,0.698,0.037,0,15,"Cck"
0,4.83604545995331,0.738,0.053,0,18,"Rasgrf1"
2.29036289960138e-113,4.83573201909118,0.216,0.015,9.30207988044106e-109,194,"Shox2"
2.88655397312145e-246,4.83497503084519,0.262,0.015,1.17234503064355e-241,91,"C1ql1"
0,4.83068296767813,0.419,0.019,0,38,"Prrx1"
1.21832249461251e-73,4.83062669574976,0.952,0.271,4.94809497961926e-69,270,"Adarb2"
0,4.82877888161193,0.245,0.009,0,76,"Gsc"
