"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"Hist3h2ba",0,2.15190422984206,0.293,0.083,0,23
"Gpr179",0,2.25460411879983,0.25,0.051,0,23
"Rnasek",2.67573876190051e-300,2.09665720340667,0.282,0.078,1.08672454075827e-295,23
"Atp5f1",2.99386227013262e-298,1.97954597415928,0.297,0.086,1.21592722239166e-293,23
"H2afy2",3.54195026701588e-292,1.92607582411762,0.286,0.081,1.43852768144583e-287,23
"Asb4",4.76516982548459e-290,1.42574219028215,0.547,0.243,1.93532607292231e-285,23
"Sept7",2.2306811596128e-285,1.84962107878466,0.284,0.08,9.05968846165141e-281,23
"Gm42418",6.74607175593391e-284,1.78526468484748,0.3,0.089,2.739849582955e-279,23
"H2afz",6.60415959127567e-282,1.52369903250976,0.299,0.088,2.6822133764007e-277,23
"mt-Nd4l",1.01767166446376e-261,1.80005834562016,0.333,0.113,4.13317169805313e-257,23
"H1fx",1.00326975082527e-260,1.77647899980115,0.275,0.081,4.07467976600174e-256,23
"Gm13889",3.808322278441e-251,1.50943840911141,0.484,0.217,1.54671201016603e-246,23
"Mrpl53",3.78552872577908e-247,1.86454460033495,0.274,0.084,1.53745463668792e-242,23
"H2afy",3.43910308611299e-241,1.46858833891006,0.281,0.084,1.39675732739393e-236,23
"Gng10",2.4770224623606e-215,1.87099368360302,0.266,0.087,1.00601790286313e-210,23
"4930483P17Rik",5.1014648828861e-208,1.38225036440009,0.377,0.152,2.07190894753536e-203,23
"Fam89b",5.97349609638274e-207,1.6816543488121,0.269,0.09,2.42607570458489e-202,23
"Cox16",3.36975006503086e-184,1.43419236320401,0.369,0.161,1.36859029141163e-179,23
"Ecel1",2.12879439583976e-180,1.39214010949077,0.284,0.103,8.6458855592636e-176,23
"Rarb",7.78202067689281e-174,1.45105941665709,0.255,0.09,3.16058987771325e-169,23
"Gm8797",3.3863250396119e-166,1.48919036811472,0.313,0.13,1.37532205158798e-161,23
"Tomm6",4.57884040842344e-152,1.44226741450143,0.335,0.152,1.8596502434771e-147,23
"Usp51",8.21928249661635e-137,1.3689166542989,0.294,0.127,3.33817939317576e-132,23
"mt-Co3",1.46666221137798e-39,1.40972692570222,0.673,0.665,5.95670190529052e-35,23
"Nhlh2",0,3.19656306787585,0.867,0.206,0,24
"Mfap4",0,3.4182265450083,0.732,0.096,0,24
"Neurod1",0,3.06153026440197,0.674,0.095,0,24
"Gfra1",0,2.99298845514719,0.745,0.183,0,24
"Sfta3-ps",0,1.85878937075275,0.936,0.375,0,24
"St18",0,1.97208607801984,0.892,0.332,0,24
"Nkx2-1",0,1.8471358282476,0.936,0.393,0,24
"Cplx2",0,2.76337922199118,0.757,0.255,0,24
"Lhx5",0,2.51258137371217,0.683,0.184,0,24
"Prmt8",0,2.64369723354169,0.706,0.21,0,24
"Dach1",0,1.89862137524809,0.898,0.446,0,24
"Ass1",0,3.34055232949037,0.507,0.077,0,24
"Pam",0,2.00221914164154,0.898,0.483,0,24
"Epha3",0,1.66209712653752,0.601,0.189,0,24
"Gadd45g",0,1.68980296918145,0.689,0.285,0,24
"Spsb4",0,2.19335011092106,0.629,0.227,0,24
"Tmem163",0,1.71706668663454,0.656,0.282,0,24
"Prdm13",0,3.76457585850812,0.412,0.038,0,24
"Chn2",0,1.67288843218195,0.699,0.334,0,24
"Ppp1r14a",0,2.81580257601781,0.414,0.056,0,24
"Cbfa2t2",0,1.68962185752717,0.799,0.443,0,24
"Fam110a",0,1.87144334772594,0.561,0.212,0,24
"Igsf8",0,2.3502163866282,0.592,0.243,0,24
"Pgbd5",0,2.98111066484307,0.414,0.082,0,24
"Klhl35",0,3.08647410066192,0.392,0.063,0,24
"Gm27199",0,1.7001821309852,0.519,0.192,0,24
"Thsd4",0,2.14785820317485,0.463,0.138,0,24
"Prdm12",0,3.03150819394223,0.36,0.058,0,24
"Ypel2",0,2.2472424542584,0.416,0.115,0,24
"Nhlh1",0,3.60062748440786,0.329,0.029,0,24
"Gamt",0,2.51301176051953,0.371,0.092,0,24
"Ppp1r17",0,1.68787532260373,0.407,0.135,0,24
"Pkib",0,3.27040918697141,0.341,0.074,0,24
"Neurog3",0,6.25515022690935,0.273,0.006,0,24
"Phldb2",0,2.74911924822529,0.379,0.114,0,24
"Cdkn1c",0,2.00922466157647,0.889,0.629,0,24
"Serping1",0,2.29054536988072,0.335,0.078,0,24
"Slc25a5",0,2.1760520498257,0.981,0.736,0,24
"Dbx1",0,2.55456817697651,0.289,0.051,0,24
"Syt13",0,2.20465735196135,0.303,0.081,0,24
"Ebf2",0,1.93792159082543,0.283,0.069,0,24
"Plk3",0,2.28490713862739,0.279,0.073,0,24
"Rhbdl3",1.28028534172336e-289,1.68143121379011,0.371,0.125,5.19975088687525e-285,24
"Nup62cl",3.36852862839125e-286,2.45923381146183,0.278,0.079,1.36809421713482e-281,24
"St3gal1",2.02147115702126e-236,1.99233736780397,0.284,0.091,8.21000295712616e-232,24
"Itpr1",5.46813562580803e-231,2.15816690987791,0.278,0.09,2.22082860306567e-226,24
"Mamld1",5.73871031680656e-194,1.67341930333431,0.386,0.171,2.33071980806781e-189,24
"G0s2",7.47779805434459e-154,1.80874784110883,0.278,0.111,3.03703290179151e-149,24
"Gadd45a",1.46591683263883e-152,1.65998755360812,0.257,0.098,5.95367462407933e-148,24
"Cntn3",1.31667161037965e-138,1.84645781643469,0.297,0.13,5.34753007839591e-134,24
"Isl1",0,2.30652371074616,0.866,0.359,0,25
"Hmx2",0,2.99451718446989,0.615,0.111,0,25
"Gm14204",0,1.52623913232962,0.682,0.237,0,25
"Hmx3",0,2.87564843552312,0.535,0.095,0,25
"Dlx6os1",0,0.985164974019851,0.69,0.28,0,25
"Ecel1",0,2.10620411375247,0.402,0.1,0,25
"Bub3",0,1.60287927885046,0.833,0.585,0,25
"Tceal9",0,0.875366952294952,0.932,0.801,0,25
"Bex2",0,0.891664253868049,0.991,0.887,0,25
"Ssbp2",3.20198073126954e-298,0.865031120274564,0.938,0.806,1.30045245419781e-293,25
"Dlx2",4.63535828495792e-296,0.941569231352584,0.645,0.282,1.88260441385281e-291,25
"Zcchc12",2.13198995823811e-284,1.29269726339591,0.751,0.42,8.65886401638826e-280,25
"Dscaml1",1.80288992154035e-266,1.01617743810324,0.551,0.232,7.32225712734399e-262,25
"Cacna2d3",9.00466173000496e-265,1.52766312176842,0.611,0.321,3.65715331502421e-260,25
"Prox1os",1.08273785334489e-264,1.88990084699528,0.349,0.12,4.39743151757494e-260,25
"Lingo2",3.96115326114e-245,1.11481412957648,0.709,0.406,1.6087827854794e-240,25
"Nap1l5",1.97051648101978e-227,0.882915611326082,0.862,0.601,8.00305563601375e-223,25
"Gsx1",1.89417660695955e-225,1.65131280069388,0.282,0.09,7.69300887150551e-221,25
"Stmn4",6.76038959326405e-220,0.856718994106033,0.858,0.579,2.74566462940826e-215,25
"Slc32a1",1.16636382534534e-209,1.11231853906377,0.414,0.163,4.73707004025757e-205,25
"Peg10",3.2875852102302e-202,1.11519303984722,0.615,0.353,1.33521985728289e-197,25
"Cdk5r1",4.9772004402282e-193,0.872896564037394,0.799,0.557,2.02144018679428e-188,25
"Dlx5",2.84815066939066e-191,0.881268869572006,0.485,0.217,1.15674791286632e-186,25
"Nexmif",1.41394469881384e-181,1.13437216771826,0.687,0.453,5.74259499976253e-177,25
"Nyap2",1.38790960914816e-177,1.20844515413198,0.638,0.41,5.63685608659432e-173,25
"Prox1",7.08048134319386e-165,1.33423486167531,0.527,0.31,2.87566669272475e-160,25
"Otp",4.59351858391895e-160,0.923126761762827,0.457,0.222,1.86561163767284e-155,25
"Tafa2",7.06648041220257e-158,1.2843834664366,0.606,0.374,2.86998035461195e-153,25
"Tpgs2",1.37823301427462e-153,1.10263018696016,0.64,0.454,5.59755556417493e-149,25
"Celf6",7.72291825301308e-148,0.938603556780882,0.526,0.29,3.13658601927873e-143,25
"Fxyd7",9.13247984200269e-139,1.20425787955393,0.43,0.224,3.70906536303097e-134,25
"Cited1",1.42013903147589e-136,1.10152038731496,0.334,0.151,5.76775266243617e-132,25
"Klhdc8b",3.72886098815195e-131,1.02595475730189,0.492,0.284,1.51443960172803e-126,25
"Asb4",7.28222401246349e-126,1.03536548089775,0.447,0.246,2.95760246042192e-121,25
"Six6",1.36585146598038e-122,0.958349109709813,0.354,0.17,5.54726914393271e-118,25
"Tax1bp3",2.08596724540456e-121,0.915826234063424,0.571,0.377,8.47194737048608e-117,25
"Tiprl",1.79072984001287e-118,0.876159449151253,0.622,0.457,7.27287017222826e-114,25
"Kctd8",4.35398206422433e-115,1.30172396605345,0.28,0.126,1.76832627556407e-110,25
"Cntfr",1.31508064117835e-112,1.19613411406792,0.356,0.185,5.34106851608176e-108,25
"Gm17750",7.43506879193451e-111,1.33016950245013,0.313,0.153,3.01967883915628e-106,25
"Gpc3",5.34137425214595e-101,0.890228226952364,0.323,0.163,2.16934573876655e-96,25
"Rab33a",6.18490068148183e-99,0.953768849208447,0.446,0.269,2.51193556277703e-94,25
"Pbx3",2.48927521217289e-95,0.961563470709638,0.517,0.348,1.0109942346719e-90,25
"Rbp1",4.5354162810742e-90,1.52651645356328,0.283,0.146,1.84201396839547e-85,25
"Gm13889",5.88248572351075e-74,0.908355358188217,0.367,0.22,2.38911275174666e-69,25
"Rps6ka6",7.75036072839536e-73,1.16447163518322,0.324,0.191,3.14773150623049e-68,25
"Gck",3.12000892745647e-69,0.928440643380469,0.26,0.136,1.26716042579717e-64,25
"Bcl11b",8.8340098974854e-49,1.55451516838572,0.364,0.26,3.58784477976472e-44,25
"Gm20754",7.75068765557286e-48,0.859968756034089,0.305,0.191,3.14786428443436e-43,25
"Lmo3",8.77183091164581e-29,1.21498272617627,0.455,0.375,3.56259140645583e-24,25
"Mcm3",0,3.98534143045783,0.6,0.062,0,26
"Adgrv1",0,2.64626920399434,0.795,0.275,0,26
"Mcm6",0,3.16160312237795,0.661,0.142,0,26
"Hells",0,3.52100543365932,0.606,0.094,0,26
"Rrm2",0,2.90290233911638,0.564,0.089,0,26
"Uhrf1",0,3.58339730397326,0.528,0.064,0,26
"Dtl",0,3.93595845615599,0.516,0.053,0,26
"Mcm5",0,3.54362262182453,0.508,0.066,0,26
"Pclaf",0,2.64577205297673,0.512,0.073,0,26
"Mcm4",0,3.00803197952947,0.538,0.109,0,26
"Dhfr",0,3.18883935783374,0.512,0.087,0,26
"Atad2",0,3.29952971753415,0.496,0.071,0,26
"Nes",0,2.58690697186771,0.565,0.143,0,26
"Pola1",0,2.59624623776796,0.602,0.182,0,26
"Cdca7",0,3.0657684777387,0.477,0.069,0,26
"Pcna",0,2.52579934147702,0.684,0.277,0,26
"Mms22l",0,3.0021702891357,0.493,0.097,0,26
"E2f1",0,3.14543702166035,0.458,0.065,0,26
"Ung",0,4.07709640897365,0.426,0.036,0,26
"Hmga2",0,2.91299806027413,0.468,0.092,0,26
"Gmnn",0,3.00118181875435,0.451,0.075,0,26
"Rad51b",0,2.92686199093594,0.468,0.092,0,26
"Wnt7b",0,2.74603690460358,0.46,0.097,0,26
"Clspn",0,3.7022045333736,0.396,0.04,0,26
"Chaf1b",0,3.33310155631919,0.386,0.05,0,26
"Gins2",0,3.05985317582698,0.4,0.065,0,26
"Nr2e1",0,2.78868137908238,0.405,0.078,0,26
"Wdr76",0,2.5817536903123,0.416,0.096,0,26
"Chaf1a",0,3.23034647804132,0.368,0.056,0,26
"Pole",0,3.23509640209711,0.344,0.045,0,26
"Zfp367",0,2.49879255876837,0.383,0.089,0,26
"Rmi2",0,4.00307834639134,0.319,0.027,0,26
"Cenph",0,2.73726997200489,0.352,0.064,0,26
"Mtap",0,2.53933069708885,0.35,0.074,0,26
"Timeless",0,2.64692884335143,0.34,0.066,0,26
"Brca1",0,3.17167342182776,0.307,0.038,0,26
"Pole2",0,3.28233334345513,0.304,0.037,0,26
"Wee1",0,2.5032330905543,0.327,0.067,0,26
"Gli2",0,3.23405823762178,0.294,0.041,0,26
"Chek1",0,3.34241279324563,0.291,0.038,0,26
"Fignl1",0,2.81022957722098,0.302,0.049,0,26
"Rad51",0,2.76831947991285,0.3,0.048,0,26
"Pola2",0,2.64908405123807,0.312,0.066,0,26
"Kntc1",0,3.2644179460862,0.284,0.038,0,26
"Cdt1",0,3.33495339758235,0.273,0.032,0,26
"Zgrf1",0,3.14002946901182,0.279,0.044,0,26
"Ncapg2",0,2.64901147163272,0.284,0.054,0,26
"Cdc45",0,3.26537335701245,0.259,0.031,0,26
"Col18a1",0,2.95275437271511,0.261,0.041,0,26
"Ppic",0,2.49526265276157,0.271,0.056,0,26
"Cenpa",0,4.97109585995515,0.968,0.084,0,27
"Cdca8",0,4.45995066655469,0.931,0.087,0,27
"Cenpf",0,4.21953452542876,0.902,0.066,0,27
"Ccnb2",0,4.95685193397082,0.88,0.053,0,27
"Birc5",0,4.49527040288615,0.886,0.06,0,27
"Cdca3",0,4.50777996591803,0.865,0.058,0,27
"Knstrn",0,5.03319519333303,0.851,0.048,0,27
"Tpx2",0,4.41834129643668,0.85,0.061,0,27
